Physical Collection Name (Islandora),Unique ID# (Islandora),Title (Islandora),Description (Islandora),Date (Islandora),Notes (Islandora),Subject (Islandora),Location (Geographic) (Islandora),Subjects_GPT-OSS
Kerr-McGee Corporation collection,WHC-P-2232_0093,"Kerr-McGee Corporation oil refinery in Wynnewood, Oklahoma","Black and white photograph depicting the Kerr-McGee Corporation oil refinery in Wynnewood, Oklahoma in spring 1955. Shown are the refinery's fluid-type catalytic cracking unit and catalytic polymerization unit.",1955,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0095,"Kerr-McGee Corporation oil refinery in Wynnewood, Oklahoma","Black and white photograph depicting the Kerr-McGee Corporation oil refinery in Wynnewood, Oklahoma in spring 1955. Shown are the refinery's fluid-type catalytic cracking unit and catalytic polymerization unit.",circa 1970-1985,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0096,"Kerr-McGee Corporation uranium mine shaft headframe near Ambrosia Lake in Grants, New Mexico","Black and white photograph depicting a dump truck at a Kerr-McGee Corporation uranium mine shaft headframe near Ambrosia Lake in Grants, New Mexico.",circa 1965-1975,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0103,Kerr-McGee Corporation coal mining operation,"Black and white photograph depicting a Kerr-McGee Corporation coal mining operation in 1977, likely in Jacobs Ranch Mine near Wright, Wyoming. A mining dump truck is depicted.",1977,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0107,Kerr-McGee Corporation's Transworld Rig 61 oil platform,Color aerial photograph depicting Kerr-McGee Corporation's Transworld Rig 61. The oil platform was built in Japan in 1970.,circa 1970-1975,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0108,Kerr-McGee Kermac Rig 16 offshore oil drilling platform,Black and white photograph depicting the Kerr-McGee Kermac Rig 16 offshore oil drilling platform in 1947. The platform was the first producing well drilled out of the sight of land and was located in the Gulf of Mexico 10.5 miles off the Louisiana coast.,1947,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0109,Kerr-McGee Corporation's Transworld Rig 61 oil platform,Black and white photograph depicting Kerr-McGee Corporation's Transworld Rig 61. The oil platform was built in Japan in 1970.,circa 1970-1975,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0110,Kerr-McGee Corporation's Transworld Rig 54 in the Gulf of Mexico,"Black and white photograph depicting Kerr-McGee Corporation's Transworld Rig 54 in the Gulf of Mexico. The oil platform, built in 1962, was described as being the largest bottom-supported submersible rig ever built at the time.",circa 1962-1975,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0111,Kerr-McGee Corporation offshore drilling operation at Ship Shoal Block 28,Black and white photograph depicting Kerr-McGee Corporation's  offshore drilling operation at Ship Shoal Block 28 in the Gulf of Mexico off the coast of Louisiana.,circa 1965-1980,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0114,Geophysical exploration ship in Gulf of Mexico,Black and white photograph depicting a ship in the Gulf of Mexico conducting geophysical exploration in 1945.,1945,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0115,Original Kerr-McGee Kermac Rig 16 offshore oil drilling platform,Black and white photograph depicting the original platform of the Kerr-McGee Kermac Rig 16 as it appeared in 1977. The platform was located in the Gulf of Mexico 10.5 miles off the Louisiana coast.,1977,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0117,Kerr-McGee Transworld Rig 40 offshore oil drilling platform,"Black and white aerial photograph depicting the Kerr-McGee Transworld Rig 40, previously known as Breton Rig 20, in the 1950s in the Gulf of Mexico off the coast of Louisiana. The rig has been described as the first self-contained, mobile offshore drilling unit.",circa 1950-1959,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0119,Kerr-McGee Transworld Rig 58 offshore oil drilling platform,Black and white aerial photograph depicting the Kerr-McGee Transworld Rig 58 in the Gulf of Guinea off the coast of Nigeria.,circa 1970-1980,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0121,Kerr-McGee Kermac Rig 16 offshore oil drilling platform,Black and white photograph depicting a Kerr-McGee Kermac Rig 16 offshore oil drilling platform in 1947. The platform was the first producing well drilled out of the sight of land and was located in the Gulf of Mexico 10.5 miles off the Louisiana coast.,1947,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0124,United States Senator Robert S. Kerr autographing book,"Black and white photograph depicting United States Senator Robert S. Kerr autographing a copy of his book Land, Wood, and Water. ",circa 1960-1962,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0125,United States Senator Robert S. Kerr,Black and white portrait photograph of United States Senator Robert S. Kerr with a small mountain in the background.,circa 1960,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0126,Petroleum executives Dean McGee and Robert S. Kerr,Black and white photograph from 1947 of petroleum executives Dean McGee and Robert S. Kerr posed in front of an unidentified house.,1947,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0127,Six men standing on the Kerr-McGee Kermac Rig 16 offshore oil rig,"Black and white photograph depicting six men standing on the Kerr-McGee Kermac Rig 16 offshore oil rig circa 1947. The men are shown standing on the Dean Terrill of New Orleans, LA motor vessel that served as the tender for the rig. Dean McGee is the third individual from the left.",circa 1947,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0129,United States Senator Robert S. Kerr,"Black and white portrait photograph of United States Senator Robert S. Kerr circa 1960-1962 in his Washington, D.C. office. The photograph depicts Kerr posed with a copy of his book Land, Wood, and Water, a sign extending the title of the book to form the slogan ""Land, Wood, & Water, & Space"", and a model of a United States Air Force model X-15 jet.",circa 1960-1962,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0130,Kerr-McGee Corporation representatives flying to first offshore rig,"Black and white photograph depicting 13 Kerr-McGee Corporation representatives in 1947 posed in front of an airplane preparing to board a flight to visit the Kermac Rig 16 offshore oil drilling platform, the company's first offshore drilling platform, in the Gulf of Mexico. Dean McGee is eighth from the left.",1947,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0131,Kerlyn Oil Company production personnel,"Black and white photograph depicting five unidentified Kerlyn Oil Company production personnel at a site near Sunray, Texas. The men are standing beside a sign that reads ""Kerlyn Oil Company, McDowell No. 1-C, Sec. 16, Blk. 16, Acres 640.""",1938,Kerlyn Oil Company was a former name for the Kerr-McGee Corporation.,,,
Kerr-McGee Corporation collection,WHC-P-2232_0133,Petroleum executives Dean McGee and Robert S. Kerr at New York Stock Exchange,"Black and white photograph depicting Dean McGee and Robert S. Kerr at New York Stock Exchange posing beside a visualization of the Kerr-McGee Oil Industries, Incorporated stock price.",circa 1956-1960,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0136,Robert S. Kerr and James L. Anderson,Black and white photograph depicting Robert S. Kerr and James L. Anderson. Kerr and Anderson founded the Anderson & Kerr Drilling Company that would later become the Kerr-McGee Corporation.,circa 1940-1959,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0137,Senator Robert S. Kerr and unidentified Kerr-McGee Corporation employee,Black and white photograph depicting Senator Robert S. Kerr checking an instrument with an unidentified employee working on a lumber operation. There are two other unidentified men in the background.,circa 1955-1962,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0139,"Kerr-McGee Tower in Oklahoma City, Oklahoma","Color photograph depicting the Kerr-McGee Tower in Oklahoma City, Oklahoma at night. The tower, currently known as Strata Tower, stands at 123 Robert S. Kerr Avenue, Oklahoma City, Oklahoma.",circa 1972-1973,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0140,"Kerr-McGee Tower in Oklahoma City, Oklahoma","Black and white photograph undated photograph depicting the Kerr-McGee Tower in Oklahoma City, Oklahoma at night. The tower, currently known as Strata Tower, stands at 123 Robert S. Kerr Avenue, Oklahoma City, Oklahoma.",circa 1973-1985,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0143,Kerr McGee Building in Oklahoma City,"Black and white photograph depicting the former Kerr McGee Building in Oklahoma City, Oklahoma at the northeast corner of Robert S. Kerr Ave. and Robinson St., looking northeast.",circa 1929-1940,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0144,"Kerr-McGee Corporation tank car at the Kerr-McGee pigment plant in Hamilton, Mississippi","Black and white photograph showing a Kerr-McGee Corporation railroad car at the Kerr-McGee pigment plant in Hamilton, Mississippi in 1975.",1975,,,,
Kerr-McGee Corporation collection,WHC-P-2232_0149,Cato Oil and Grease Company facility and automobiles,Black and white photograph depicting the Cato Oil and Grease Company facility in Oklahoma City in 1922. In front of the facility are three Model T automobiles that comprised the company's transportation fleet.,1922,,,,
